Watershed,Burn Trt,Burn.Trt2,Block,plot_id,Plot,Litter,Nutrient,treatment
1D,Annual,1,A,1,A1,P,U,litadded_nitrogen
1D,Annual,1,A,2,A2,P,C,litadded_control
1D,Annual,1,A,3,A3,P,S,litadded_sugar
1D,Annual,1,A,4,A4,A,U,control_nitrogen
1D,Annual,1,A,5,A5,A,C,control_control
1D,Annual,1,A,6,A6,A,S,control_sugar
1D,Annual,1,B,7,B1,P,U,litadded_nitrogen
1D,Annual,1,B,8,B2,P,C,litadded_control
1D,Annual,1,B,9,B3,P,S,litadded_sugar
1D,Annual,1,B,10,B4,A,U,litadded_nitrogen
1D,Annual,1,B,11,B5,A,C,litadded_control
1D,Annual,1,B,12,B6,A,S,litadded_sugar
1D,Annual,1,C,13,C1,A,U,litadded_nitrogen
1D,Annual,1,C,14,C2,A,C,litadded_control
1D,Annual,1,C,15,C3,A,S,litadded_sugar
1D,Annual,1,C,16,C4,P,U,litadded_nitrogen
1D,Annual,1,C,17,C5,P,C,litadded_control
1D,Annual,1,C,18,C6,P,S,litadded_sugar
SpB,Annual,1,D,19,D1,P,S,litadded_sugar
SpB,Annual,1,D,20,D2,P,C,litadded_control
SpB,Annual,1,D,21,D3,P,U,litadded_nitrogen
SpB,Annual,1,D,22,D4,A,S,litadded_sugar
SpB,Annual,1,D,23,D5,A,C,litadded_control
SpB,Annual,1,D,24,D6,A,U,litadded_nitrogen
SpB,Annual,1,E,25,E1,P,S,litadded_sugar
SpB,Annual,1,E,26,E2,P,C,litadded_control
SpB,Annual,1,E,27,E3,P,U,litadded_nitrogen
SpB,Annual,1,E,28,E4,A,S,litadded_sugar
SpB,Annual,1,E,29,E5,A,C,litadded_control
SpB,Annual,1,E,30,E6,A,U,litadded_nitrogen
SpB,Annual,1,F,31,F1,P,U,litadded_nitrogen
SpB,Annual,1,F,32,F2,P,C,litadded_control
SpB,Annual,1,F,33,F3,P,S,litadded_sugar
SpB,Annual,1,F,34,F4,A,U,litadded_nitrogen
SpB,Annual,1,F,35,F5,A,C,litadded_control
SpB,Annual,1,F,36,F6,A,S,litadded_sugar
20C,Unburned,20,A,37,A1,A,S,litremoved_sugar
20C,Unburned,20,A,38,A2,A,C,litremoved_control
20C,Unburned,20,A,39,A3,A,U,litremoved_nitrogen
20C,Unburned,20,A,40,A4,P,S,control_sugar
20C,Unburned,20,A,41,A5,P,C,control_control
20C,Unburned,20,A,42,A6,P,U,control_nitrogen
20C,Unburned,20,B,43,B1,P,S,control_sugar
20C,Unburned,20,B,44,B2,P,C,control_control
20C,Unburned,20,B,45,B3,P,U,control_nitrogen
20C,Unburned,20,B,46,B4,A,S,litremoved_sugar
20C,Unburned,20,B,47,B5,A,C,litremoved_control
20C,Unburned,20,B,48,B6,A,U,litremoved_nitrogen
20C,Unburned,20,C,49,C1,A,U,litremoved_nitrogen
20C,Unburned,20,C,50,C2,A,C,litremoved_control
20C,Unburned,20,C,51,C3,A,S,litremoved_sugar
20C,Unburned,20,C,52,C4,P,U,control_nitrogen
20C,Unburned,20,C,53,C5,P,C,control_control
20C,Unburned,20,C,54,C6,P,S,control_sugar
20B,Unburned,20,D,55,D1,P,S,control_sugar
20B,Unburned,20,D,56,D2,P,C,control_control
20B,Unburned,20,D,57,D3,P,U,control_nitrogen
20B,Unburned,20,D,58,D4,A,S,litremoved_sugar
20B,Unburned,20,D,59,D5,A,C,litremoved_control
20B,Unburned,20,D,60,D6,A,U,litremoved_nitrogen
20B,Unburned,20,E,61,E1,A,U,litremoved_nitrogen
20B,Unburned,20,E,62,E2,A,C,litremoved_control
20B,Unburned,20,E,63,E3,A,S,litremoved_sugar
20B,Unburned,20,E,64,E4,P,U,control_nitrogen
20B,Unburned,20,E,65,E5,P,C,control_control
20B,Unburned,20,E,66,E6,P,S,control_sugar
20B,Unburned,20,F,67,F1,P,U,control_nitrogen
20B,Unburned,20,F,68,F2,P,C,control_control
20B,Unburned,20,F,69,F3,P,S,control_sugar
20B,Unburned,20,F,70,F4,A,U,litremoved_nitrogen
20B,Unburned,20,F,71,F5,A,C,litremoved_control
20B,Unburned,20,F,72,F6,A,S,litremoved_sugar
